"","type","votes","average","ep","guests","user_rating","user_votes","avg_vote"
"2187","IMDb users"," 24"," 7.6",8.11,"Rick Moranis and Dave Thomas/The Bus Boys",7.6,24,"7.6"
"2188","Males"," 16"," 6.3",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2189","Females"," 2"," 5.5",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2190","Aged 18-29"," 2"," 7.0",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2191","Males Aged 18-29"," 2"," 7.0",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2192","Aged 30-44"," 6"," 4.7",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2193","Males Aged 30-44"," 5"," 4.9",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2194","Females Aged 30-44"," 1"," 4.0",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2195","Aged 45+"," 10"," 6.9",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2196","Males Aged 45+"," 9"," 6.9",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2197","Females Aged 45+"," 1"," 7.0",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2198","Top 1000 voters"," 12"," 5.3",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2199","US users"," 15"," 6.1",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2200","Non-US users"," 2"," 7.0",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2201","IMDb users"," 21"," 6.3",8.12,"Sid Caesar/Joe Cocker/Jennifer Warnes",6.3,21,"6.3"
"2202","Males"," 14"," 7.3",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2203","Females"," 2"," 6.0",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2204","Aged 18-29"," 3"," 6.0",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2205","Males Aged 18-29"," 2"," 8.5",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2206","Aged 30-44"," 4"," 6.0",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2207","Males Aged 30-44"," 2"," 6.0",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2208","Females Aged 30-44"," 2"," 6.0",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2209","Aged 45+"," 10"," 7.3",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2210","Males Aged 45+"," 10"," 7.3",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2211","Top 1000 voters"," 9"," 6.2",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2212","US users"," 13"," 6.8",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2213","Non-US users"," 2"," 8.5",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2214","IMDb users"," 18"," 6.9",8.13,"Howard Hesseman/Tom Petty & The Heartbreakers",6.9,18,"6.9"
"2215","Males"," 17"," 6.6",8.14,"Beau and Jeff Bridges/Randy Newman",6.4,20,"6.4"
"2216","Females"," 1"," 5.0",8.14,"Beau and Jeff Bridges/Randy Newman",6.4,20,"6.4"
"2217","Aged 18-29"," 2"," 6.5",8.14,"Beau and Jeff Bridges/Randy Newman",6.4,20,"6.4"
"2218","Males Aged 18-29"," 2"," 6.5",8.14,"Beau and Jeff Bridges/Randy Newman",6.4,20,"6.4"
"2219","Aged 30-44"," 6"," 4.5",8.14,"Beau and Jeff Bridges/Randy Newman",6.4,20,"6.4"
